bookid,username,opentime,closetime,hotspotName,hotspotType,clickResult,clickTime,remarks
1,001,2020-09-14 21:35:35,\N,p6_nextButton,next_button,,2020-09-14 21:44:49,\N
1,001,2020-09-14 21:35:35,\N,p6_nextButton,next_button,,2020-09-14 21:45:07,\N
1,001,2020-09-14 21:35:35,\N,p10_nextButton,next_button,,2020-09-14 21:45:35,\N
1,001,2020-09-14 21:35:35,\N,p11_nextButton,next_button,,2020-09-14 21:45:36,\N
1,001,2020-09-14 21:35:35,\N,q10_nextButton,next_button,,2020-09-14 21:46:19,\N
1,001,2020-09-14 21:35:35,\N,q11,discussion,c_answer,2020-09-14 21:47:24,\N
1,001,2020-09-14 21:35:35,\N,p12_nextButton,next_button,,2020-09-14 21:47:56,\N
1,001,2020-09-14 21:35:35,\N,p13_nextButton,next_button,,2020-09-14 21:48:17,\N
1,001,2020-09-14 21:35:35,\N,p14_nextButton,next_button,,2020-09-14 21:48:39,\N
1,001,2020-09-14 21:35:35,\N,p15_nextButton,next_button,,2020-09-14 21:48:50,\N
1,001,2020-09-14 21:35:35,\N,q14,discussion,a_answer,2020-09-14 21:49:12,\N
1,001,2020-09-14 21:35:35,\N,p15_nextButton,next_button,,2020-09-14 21:49:22,\N
1,001,2020-09-14 21:35:35,\N,p16_nextButton,next_button,,2020-09-14 21:49:26,\N
1,001,2020-09-14 21:35:35,\N,p17_nextButton,next_button,,2020-09-14 21:49:53,\N
1,001,2020-09-14 21:35:35,\N,q16,discussion,b_answer,2020-09-14 21:50:24,\N
1,001,2020-09-14 21:35:35,\N,p17_nextButton,next_button,,2020-09-14 21:50:35,\N
1,001,2020-09-14 21:35:35,\N,p18_nextButton,next_button,,2020-09-14 21:52:21,\N
1,001,2020-09-14 21:35:35,\N,q17,discussion,text,2020-09-14 21:53:23,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p1_nextButton,next_button,,2020-09-15 19:43:34,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p1_nextButton,next_button,,2020-09-15 19:43:35,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p2_nextButton,next_button,,2020-09-15 19:43:37,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p3_nextButton,next_button,,2020-09-15 19:43:38,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,q2_nextButton,next_button,,2020-09-15 19:43:39,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p4_nextButton,next_button,,2020-09-15 19:43:40,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,q3_nextButton,next_button,,2020-09-15 19:43:41,\N
